Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,PhoneService,InternetService,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,StreamingTV,StreamingMovies,TechSupport,OnlineSecurity,OnlineBackup,DeviceProtection,MultipleLines
Female,0,Yes,Yes,29,Yes,Fiber optic,26.6,802.91,One year,Credit card,Yes,Yes,No,Yes,No,No,Yes,No
Male,1,Yes,No,41,Yes,Fiber optic,117.8,4846.44,Two year,Mailed check,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Male,0,No,Yes,8,Yes,No,33.76,269.95,Month-to-month,Mailed check,No,No,Yes,No,No,Yes,No,No
Male,0,Yes,Yes,30,Yes,No,104.69,3123.83,Two year,Mailed check,No,No,Yes,No,Yes,Yes,No,Yes
Male,0,Yes,Yes,7,Yes,No,83.44,548.23,Two year,Mailed check,Yes,Yes,No,No,No,Yes,Yes,Yes
Female,0,No,No,23,Yes,DSL,80.59,1833.88,One year,Credit card,No,Yes,No,No,No,No,Yes,No
Female,0,Yes,No,49,Yes,Fiber optic,62.74,3032.58,One year,Bank transfer,No,No,No,No,Yes,No,Yes,No
Female,1,No,No,20,Yes,Fiber optic,111.61,2182.62,Two year,Bank transfer,No,No,No,Yes,No,Yes,Yes,No
Female,1,No,Yes,25,Yes,No,96.3,2453.21,One year,Credit card,Yes,Yes,No,Yes,No,Yes,Yes,No
Male,0,Yes,Yes,19,Yes,No,45.43,873.38,Two year,Credit card,No,Yes,Yes,No,Yes,No,No,No
Male,0,No,Yes,40,Yes,Fiber optic,93.39,3760.85,Two year,Mailed check,No,No,Yes,Yes,No,Yes,Yes,Yes
Female,0,Yes,No,68,Yes,DSL,61.68,4173.07,Two year,Mailed check,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Female,1,Yes,Yes,24,Yes,DSL,100.92,2391.27,One year,Electronic check,No,Yes,No,Yes,No,Yes,Yes,No
Male,0,Yes,Yes,13,Yes,No,20.95,248.96,Month-to-month,Credit card,No,No,No,No,No,No,No,No
Female,0,No,No,31,Yes,DSL,114.1,3553.61,Month-to-month,Credit card,No,Yes,Yes,Yes,No,Yes,No,No
Female,0,No,Yes,66,Yes,No,61.31,4015.25,One year,Credit card,Yes,No,No,Yes,No,No,No,Yes
Male,0,No,Yes,38,Yes,Fiber optic,80.72,3088.55,Two year,Credit card,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Male,1,No,No,14,Yes,DSL,63.49,910.44,Two year,Bank transfer,No,Yes,Yes,No,Yes,No,Yes,Yes
Female,1,Yes,Yes,49,Yes,Fiber optic,111.02,5464.28,Month-to-month,Bank transfer,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Male,0,No,No,49,Yes,Fiber optic,77.69,3756.98,One year,Mailed check,Yes,Yes,No,Yes,No,No,Yes,No
Female,0,Yes,No,64,Yes,Fiber optic,88.0,5596.74,Two year,Electronic check,No,No,Yes,No,No,No,Yes,No
Male,0,Yes,No,27,Yes,No,104.81,2873.31,One year,Bank transfer,Yes,Yes,No,No,No,No,No,No
Male,1,Yes,Yes,10,Yes,Fiber optic,72.78,706.1,Two year,Electronic check,No,No,Yes,Yes,No,No,No,Yes
Male,1,Yes,Yes,28,Yes,Fiber optic,100.44,2781.89,One year,Mailed check,Yes,Yes,No,No,Yes,Yes,Yes,No
Male,0,Yes,No,20,Yes,Fiber optic,82.7,1644.4,One year,Mailed check,No,Yes,No,No,No,No,No,Yes
Male,0,No,No,15,Yes,No,28.26,422.82,Two year,Electronic check,Yes,No,No,No,No,Yes,Yes,No
Male,1,No,Yes,69,Yes,No,38.49,2687.1,Two year,Electronic check,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Male,1,Yes,Yes,17,Yes,DSL,77.51,1332.93,Two year,Bank transfer,No,Yes,No,Yes,Yes,No,Yes,No
Female,0,Yes,Yes,18,Yes,DSL,77.71,1418.29,Month-to-month,Mailed check,Yes,No,Yes,Yes,Yes,No,No,Yes
Male,1,No,Yes,10,Yes,Fiber optic,74.98,725.87,Two year,Credit card,Yes,Yes,Yes,No,Yes,No,Yes,No
Male,0,Yes,No,41,Yes,DSL,119.24,4882.2,Two year,Electronic check,No,Yes,No,Yes,No,No,No,Yes
Male,1,Yes,Yes,36,Yes,DSL,20.99,743.36,Two year,Bank transfer,No,Yes,No,No,No,Yes,Yes,Yes
Female,1,Yes,No,50,Yes,DSL,38.07,1934.11,Two year,Mailed check,Yes,Yes,No,No,Yes,No,Yes,No
Female,1,No,No,24,Yes,No,63.9,1519.0,Two year,Mailed check,No,Yes,No,No,No,Yes,Yes,Yes
Female,1,Yes,No,12,Yes,No,36.51,393.86,Two year,Mailed check,No,No,Yes,No,Yes,Yes,Yes,No
Male,1,Yes,Yes,32,Yes,DSL,119.42,3837.56,Month-to-month,Bank transfer,Yes,No,Yes,No,No,No,Yes,No
Male,1,No,No,44,Yes,Fiber optic,111.4,4876.58,One year,Mailed check,Yes,No,Yes,No,Yes,No,No,Yes
Female,0,Yes,No,1,Yes,No,81.55,64.41,Month-to-month,Credit card,No,Yes,Yes,No,No,Yes,Yes,Yes
Female,0,No,No,16,Yes,Fiber optic,111.31,1731.65,One year,Bank transfer,No,Yes,No,Yes,No,No,Yes,Yes
Male,0,Yes,No,56,Yes,DSL,20.58,1190.84,Month-to-month,Credit card,No,No,Yes,Yes,Yes,No,No,Yes
Male,1,No,No,63,Yes,DSL,75.01,4755.61,Month-to-month,Electronic check,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Female,0,No,Yes,2,Yes,No,63.43,105.81,Month-to-month,Mailed check,Yes,No,Yes,No,Yes,No,Yes,No
Male,0,Yes,Yes,65,Yes,Fiber optic,81.11,5241.02,Month-to-month,Bank transfer,Yes,Yes,No,Yes,Yes,Yes,Yes,No
Male,0,No,No,68,Yes,Fiber optic,50.64,3456.85,Month-to-month,Credit card,Yes,No,Yes,No,No,No,No,No
Male,0,No,Yes,41,Yes,Fiber optic,109.51,4458.09,One year,Bank transfer,Yes,No,Yes,No,No,No,No,No
Male,1,No,No,13,Yes,No,86.89,1147.87,Two year,Bank transfer,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Male,0,No,No,25,Yes,No,39.29,976.83,One year,Mailed check,Yes,Yes,Yes,Yes,No,No,No,No
Female,0,Yes,No,16,Yes,No,111.08,1734.05,Month-to-month,Bank transfer,Yes,Yes,Yes,No,No,Yes,Yes,No
Female,0,Yes,Yes,72,Yes,DSL,97.94,7041.76,Two year,Mailed check,Yes,No,No,No,Yes,No,No,Yes
Male,0,No,Yes,29,Yes,Fiber optic,24.56,686.06,Month-to-month,Mailed check,Yes,Yes,Yes,No,No,No,Yes,No
Male,0,No,Yes,53,Yes,No,109.83,5800.48,One year,Mailed check,No,Yes,Yes,No,No,Yes,No,Yes
Female,0,No,Yes,35,Yes,No,40.39,1426.63,Two year,Credit card,No,Yes,No,Yes,No,Yes,No,Yes
Male,1,Yes,No,25,Yes,DSL,76.97,1968.59,Month-to-month,Credit card,Yes,Yes,Yes,Yes,No,Yes,No,No
Male,0,No,No,68,Yes,DSL,33.73,2318.68,Month-to-month,Electronic check,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Male,0,Yes,No,70,Yes,No,93.61,6536.54,One year,Mailed check,No,No,No,Yes,Yes,Yes,No,Yes
Female,0,Yes,Yes,6,Yes,DSL,30.28,161.35,Month-to-month,Credit card,No,Yes,No,No,Yes,No,Yes,No
Female,1,Yes,No,15,Yes,DSL,42.45,682.4,One year,Electronic check,Yes,Yes,Yes,No,No,Yes,No,Yes
Female,1,No,Yes,37,Yes,DSL,54.84,1989.47,Month-to-month,Mailed check,No,Yes,No,No,No,Yes,Yes,No
Male,1,No,No,19,Yes,Fiber optic,29.04,601.24,One year,Credit card,No,No,Yes,Yes,No,No,No,No
Male,0,Yes,No,50,Yes,DSL,28.36,1439.49,Month-to-month,Electronic check,No,No,Yes,Yes,Yes,No,No,Yes
Female,0,Yes,Yes,59,Yes,DSL,34.41,2065.52,Two year,Mailed check,Yes,Yes,No,Yes,No,No,Yes,Yes
Male,0,No,Yes,62,Yes,DSL,103.74,6468.93,Month-to-month,Electronic check,Yes,No,Yes,Yes,No,Yes,No,No
Male,1,Yes,Yes,44,Yes,DSL,64.4,2848.08,Two year,Electronic check,Yes,Yes,Yes,No,No,No,No,No
Male,1,Yes,Yes,55,Yes,Fiber optic,113.15,6200.43,Two year,Electronic check,Yes,No,Yes,Yes,No,No,No,No
Female,0,No,Yes,22,Yes,DSL,25.47,547.49,Month-to-month,Bank transfer,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Male,0,No,Yes,40,Yes,No,38.77,1520.97,Two year,Electronic check,No,Yes,Yes,No,Yes,No,Yes,No
Female,1,Yes,Yes,51,Yes,Fiber optic,70.02,3552.47,One year,Electronic check,Yes,Yes,No,No,Yes,No,Yes,Yes
Male,0,Yes,Yes,11,Yes,No,108.52,1153.05,Two year,Bank transfer,No,Yes,No,No,No,No,Yes,No
Male,1,Yes,Yes,27,Yes,DSL,119.7,3242.59,One year,Electronic check,No,Yes,No,No,Yes,No,Yes,Yes
Female,1,No,No,47,Yes,Fiber optic,55.34,2558.09,Two year,Mailed check,Yes,No,Yes,No,No,No,No,Yes
Female,1,Yes,No,47,Yes,No,71.25,3361.21,One year,Bank transfer,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Female,0,No,No,52,Yes,Fiber optic,105.38,5452.07,Two year,Credit card,Yes,Yes,Yes,Yes,No,No,Yes,No
Female,0,No,Yes,9,Yes,Fiber optic,51.73,515.21,One year,Electronic check,Yes,No,Yes,Yes,No,Yes,No,Yes
Male,0,No,No,56,Yes,Fiber optic,117.86,6571.5,Two year,Mailed check,Yes,Yes,Yes,No,No,Yes,No,No
